Region;Year;Average Index;Upper Index;Lower Index
Africa;1970;100;100;100
Africa;1971;95.4619689;104.9108031;87.7905669
Africa;1972;94.6834134;110.8678393;81.4798388
Africa;1973;99.1811736;120.8707213;81.908753
Africa;1974;99.384934;127.8777795;77.1446096
Africa;1975;96.6180782;132.4486311;69.761962
Africa;1976;92.4301969;134.8479638;61.8370488
Africa;1977;87.2671198;131.951995;56.3436072
Africa;1978;80.7315407;125.7273253;50.8606522
Africa;1979;76.9254314;125.7538959;46.266409
Africa;1980;76.9081876;132.8204823;43.8800042
Africa;1981;79.5767414;142.6150695;43.6448033
Africa;1982;76.4077794;139.8253089;41.0753522
Africa;1983;73.1503259;134.313978;39.0570959
Africa;1984;68.4761215;126.0813991;36.3387584
Africa;1985;63.7356956;117.9306984;33.6530432
Africa;1986;59.7940078;111.4486803;31.4803731
Africa;1987;57.3022634;107.7077199;30.1512145
Africa;1988;56.0417189;105.8415563;29.4651004
Africa;1989;55.1636921;104.7286026;28.9561275
Africa;1990;53.5341213;102.0471154;27.9920623
Africa;1991;52.4957607;100.4773682;27.3239148
Africa;1992;52.5530614;101.0381931;27.2474142
Africa;1993;52.8797177;102.2262265;27.2298129
Africa;1994;53.7990254;104.6411241;27.489396
Africa;1995;53.2089821;104.13283;27.0130776
Africa;1996;53.3139984;104.8317159;26.9979873
Africa;1997;52.3589476;103.3454929;26.4798546
Africa;1998;51.4812834;101.866499;26.0521658
Africa;1999;50.7354963;100.5380784;25.6536467
Africa;2000;49.8478206;99.0628086;25.1948323
Africa;2001;47.7969422;95.5173003;24.0470567
Africa;2002;45.4182948;91.4103573;22.7726001
Africa;2003;43.4670747;88.0793043;21.5846269
Africa;2004;43.0759027;88.143674;21.047456
Africa;2005;42.3475095;87.5202311;20.3524912
Africa;2006;41.7608907;87.0580871;19.8434553
Africa;2007;41.7640316;87.3575831;19.8294506
Africa;2008;42.1065122;88.0000107;19.957817
Africa;2009;42.209775;88.48471;19.9609472
Africa;2010;41.1133919;86.3889326;19.3916553
Africa;2011;39.3256355;83.0753708;18.4961851
Africa;2012;36.9574054;78.1068995;17.359079
Africa;2013;34.5145394;73.0016921;16.1848117
Africa;2014;32.4928695;68.6286358;15.2385752
Africa;2015;31.2935728;66.2561521;14.6691471
Africa;2016;32.0542215;68.0268934;14.9688821
Africa;2017;34.4458751;73.43358;15.991854
Asia and Pacific;1970;100;100;100
Asia and Pacific;1971;103.7109657;109.7304737;98.4715847
Asia and Pacific;1972;104.8386686;114.4042346;96.1006915
Asia and Pacific;1973;104.1134016;114.8096754;93.620443
Asia and Pacific;1974;104.9811427;116.5759634;93.8732991
Asia and Pacific;1975;105.9803663;118.4052305;94.3320861
Asia and Pacific;1976;106.0154597;119.127385;93.9715527
Asia and Pacific;1977;104.1612733;117.261797;92.1532313
Asia and Pacific;1978;102.561853;115.7286946;90.4999924
Asia and Pacific;1979;101.4466364;114.7537338;89.247058
Asia and Pacific;1980;100.6715203;114.1953561;88.3268142
Asia and Pacific;1981;99.0261526;112.6576649;86.6304
Asia and Pacific;1982;96.7173069;110.3665504;84.3433102
Asia and Pacific;1983;93.7090272;107.2534865;81.4814909
Asia and Pacific;1984;92.2515952;106.7065431;79.4789481
Asia and Pacific;1985;92.4585355;108.6619537;78.4923531
Asia and Pacific;1986;94.2524124;113.6544225;78.2645522
Asia and Pacific;1987;94.7575872;116.5778076;77.4200407
Asia and Pacific;1988;94.4038539;118.0132323;76.2228167
Asia and Pacific;1989;93.0612438;117.2725294;74.679108
Asia and Pacific;1990;90.0934888;114.6996813;71.5425932
Asia and Pacific;1991;86.5267314;111.541443;67.8338584
Asia and Pacific;1992;82.8573325;108.1992687;64.0907559
Asia and Pacific;1993;78.792209;104.0178858;60.28006
Asia and Pacific;1994;75.6363913;100.8917021;57.1585417
Asia and Pacific;1995;72.3442216;97.4930493;54.0732205
Asia and Pacific;1996;70.8067779;96.0636234;52.5069183
Asia and Pacific;1997;68.9327964;94.2172288;50.775835
Asia and Pacific;1998;66.6941388;91.7990418;48.7455506
Asia and Pacific;1999;64.5040725;89.5184672;46.8050059
Asia and Pacific;2000;62.2660213;86.9365061;44.9240562
Asia and Pacific;2001;61.2744996;85.8113193;43.9874959
Asia and Pacific;2002;61.505192;86.175133;43.9999318
Asia and Pacific;2003;62.2018732;87.2195324;44.3281634
Asia and Pacific;2004;63.0619512;88.8284198;44.8176257
Asia and Pacific;2005;62.8762271;89.2961017;44.5008295
Asia and Pacific;2006;62.6798659;89.8509736;44.0991295
Asia and Pacific;2007;59.9801206;86.90742;41.7373561
Asia and Pacific;2008;55.8495942;81.72202;38.40117
Asia and Pacific;2009;50.0529029;74.3028999;33.8852926
Asia and Pacific;2010;46.7976584;70.7637296;31.1540423
Asia and Pacific;2011;44.4239072;68.6120131;28.9230303
Asia and Pacific;2012;43.9966301;69.1825823;28.0506423
Asia and Pacific;2013;44.6490574;71.0942926;27.924296
Asia and Pacific;2014;45.9181376;73.7064808;28.4238921
Asia and Pacific;2015;46.883876;75.927517;28.7416192
Asia and Pacific;2016;44.7551455;73.1446444;27.2450971
Asia and Pacific;2017;44.3357649;73.0372291;26.8411588
Asia and Pacific;2018;44.6796495;74.0307893;26.983685
Europe and Central Asia;1970;100;100;100
Europe and Central Asia;1971;101.2722582;103.9584249;98.8250018
Europe and Central Asia;1972;103.2878696;108.0054132;99.0272485
Europe and Central Asia;1973;105.6278309;111.6047687;100.2073015
Europe and Central Asia;1974;107.5769485;114.5981476;101.1858144
Europe and Central Asia;1975;108.685179;116.5980066;101.3882023
Europe and Central Asia;1976;109.4471862;118.5310152;101.0193852
Europe and Central Asia;1977;110.9426994;121.2312018;101.316498
Europe and Central Asia;1978;112.8089544;124.2297595;102.208653
Europe and Central Asia;1979;113.8832152;125.9256084;102.753468
Europe and Central Asia;1980;113.8179769;126.327688;102.3677644
Europe and Central Asia;1981;113.0956011;125.8976118;101.3732967
Europe and Central Asia;1982;113.4491216;126.8461861;101.3401727
Europe and Central Asia;1983;112.0039122;126.1667367;99.2966992
Europe and Central Asia;1984;112.0508611;127.275558;98.5575496
Europe and Central Asia;1985;111.9430216;128.0199074;97.7501365
Europe and Central Asia;1986;113.9536756;130.8341584;99.1369872
Europe and Central Asia;1987;116.7714251;134.6301499;101.1730424
Europe and Central Asia;1988;121.412525;140.5840394;104.8039598
Europe and Central Asia;1989;126.9586022;147.5154891;109.2734967
Europe and Central Asia;1990;130.5446892;152.0178686;112.1429939
Europe and Central Asia;1991;130.7410732;152.5705764;112.1332247
Europe and Central Asia;1992;128.747907;150.5780109;110.2105914
Europe and Central Asia;1993;125.2536173;146.9269857;106.9500174
Europe and Central Asia;1994;121.7116178;143.1587774;103.5898096
Europe and Central Asia;1995;118.5171294;139.7615661;100.5811968
Europe and Central Asia;1996;114.8186807;135.8134563;97.1465646
Europe and Central Asia;1997;111.9247676;132.7946558;94.5032375
Europe and Central Asia;1998;109.0750407;129.8378538;91.8621212
Europe and Central Asia;1999;107.3508444;128.1865327;90.1912588
Europe and Central Asia;2000;106.4591622;127.4880733;89.2322231
Europe and Central Asia;2001;105.061322;126.3327802;87.6827807
Europe and Central Asia;2002;104.7533639;126.5074104;87.0733667
Europe and Central Asia;2003;104.1609588;126.2877376;86.1632553
Europe and Central Asia;2004;104.877104;127.4069012;86.5588879
Europe and Central Asia;2005;105.4472695;128.3443211;86.8347906
Europe and Central Asia;2006;105.8301552;129.1326362;87.0449574
Europe and Central Asia;2007;105.5778277;129.0533214;86.6466724
Europe and Central Asia;2008;104.4336198;128.3889001;85.3506894
Europe and Central Asia;2009;104.4281631;129.7232047;84.4323425
Europe and Central Asia;2010;105.5393204;132.8543708;84.3570096
Europe and Central Asia;2011;103.0181055;131.1175941;81.3841499
Europe and Central Asia;2012;98.6053092;126.8913735;77.0906855
Europe and Central Asia;2013;92.2752804;119.9745179;71.4164488
Europe and Central Asia;2014;90.6011161;119.6206554;68.8711134
Europe and Central Asia;2015;88.4297436;118.1770235;66.1678605
Europe and Central Asia;2016;86.1145006;116.7181736;63.3799561
Europe and Central Asia;2017;83.4874868;113.7750946;61.1813471
Europe and Central Asia;2018;82.2915342;112.5579258;60.2690734
Freshwater;1970;100;100;100
Freshwater;1971;98.293719;102.4784386;94.5666478
Freshwater;1972;97.1892653;103.8793042;91.1696611
Freshwater;1973;96.9687796;104.8540663;89.8240837
Freshwater;1974;94.1979449;103.6485519;85.5066625
Freshwater;1975;90.1230964;101.4260244;79.7465992
Freshwater;1976;85.9175801;98.7090293;74.1435947
Freshwater;1977;82.2131566;95.6380978;69.9702065
Freshwater;1978;78.7561764;92.4860341;66.3998767
Freshwater;1979;76.224954;90.8888029;63.4286911
Freshwater;1980;74.3899106;90.4151855;60.8678951
Freshwater;1981;73.1106672;90.250657;59.0962419
Freshwater;1982;69.9692154;87.0822618;56.1938078
Freshwater;1983;66.3032209;82.9784632;52.9584132
Freshwater;1984;62.9578217;79.3634804;49.8227522
Freshwater;1985;60.4836256;77.2210934;47.2789056
Freshwater;1986;58.4069615;75.5401921;45.1760938
Freshwater;1987;55.7055935;72.8741304;42.6939446
Freshwater;1988;52.6319799;69.4390271;40.0698597
Freshwater;1989;51.0816621;67.7702832;38.7051854
Freshwater;1990;49.2790176;65.7095174;37.1783601
Freshwater;1991;47.6622292;63.8790355;35.7763436
Freshwater;1992;45.5418343;61.4689287;33.9840218
Freshwater;1993;43.4511732;58.9821214;32.2165689
Freshwater;1994;41.4504899;56.542511;30.562539
Freshwater;1995;38.7363263;52.9432247;28.4664177
Freshwater;1996;37.2176802;51.1059277;27.2928823
Freshwater;1997;34.957732;48.2589457;25.5635747
Freshwater;1998;33.017622;45.8454331;24.0438484
Freshwater;1999;30.7366504;42.8889853;22.2748958
Freshwater;2000;29.1271184;40.7590954;21.0254931
Freshwater;2001;27.339613;38.5754319;19.6058392
Freshwater;2002;25.8044784;36.7060179;18.3647119
Freshwater;2003;24.8165904;35.681177;17.4875424
Freshwater;2004;24.3521428;35.2209257;17.0397872
Freshwater;2005;24.3008504;35.3412369;16.9040136
Freshwater;2006;23.9179987;34.9703478;16.5707605
Freshwater;2007;23.4634188;34.4933233;16.1844982
Freshwater;2008;22.6305172;33.5194578;15.5197602
Freshwater;2009;21.6249062;32.2752631;14.7088306
Freshwater;2010;20.6673475;31.105954;13.8917211
Freshwater;2011;19.1988471;29.1392527;12.7437579
Freshwater;2012;18.0219349;27.5475928;11.8397648
Freshwater;2013;17.3151435;26.6210756;11.306868
Freshwater;2014;17.4279543;26.864237;11.3628584
Freshwater;2015;17.5929918;27.1837077;11.4456103
Freshwater;2016;17.3996065;26.8996951;11.3071691
Freshwater;2017;17.2112375;26.6000844;11.1643982
Freshwater;2018;17.1441894;26.4797937;11.1100249
Latin America and the Caribbean;1970;100;100;100
Latin America and the Caribbean;1971;101.0071636;104.1105969;98.4167197
Latin America and the Caribbean;1972;99.5231095;106.1407687;93.6485237
Latin America and the Caribbean;1973;95.2122285;105.3418405;86.0003305
Latin America and the Caribbean;1974;89.5563479;103.565333;76.9412405
Latin America and the Caribbean;1975;83.3978282;99.9139864;69.0072347
Latin America and the Caribbean;1976;78.0728071;95.8882858;63.0680443
Latin America and the Caribbean;1977;73.0437843;90.4923354;58.5304714
Latin America and the Caribbean;1978;69.5593466;86.4661908;55.5917236
Latin America and the Caribbean;1979;67.4653369;84.1739026;53.737348
Latin America and the Caribbean;1980;65.0498838;81.3841687;51.612786
Latin America and the Caribbean;1981;62.513807;78.5607554;49.3195098
Latin America and the Caribbean;1982;58.2923756;73.8203552;45.644396
Latin America and the Caribbean;1983;53.3732362;68.2949275;41.5340998
Latin America and the Caribbean;1984;49.6977588;64.5389766;38.329867
Latin America and the Caribbean;1985;46.941833;61.6575612;35.9259806
Latin America and the Caribbean;1986;44.3168275;58.8636751;33.49296
Latin America and the Caribbean;1987;40.6477786;54.4387182;30.468063
Latin America and the Caribbean;1988;37.7652622;51.058866;28.0686441
Latin America and the Caribbean;1989;35.9970139;48.9756475;26.6598846
Latin America and the Caribbean;1990;34.9957577;47.7697264;25.8238284
Latin America and the Caribbean;1991;33.7526107;46.1926817;24.8353248
Latin America and the Caribbean;1992;32.3694842;44.4392686;23.7640877
Latin America and the Caribbean;1993;30.5792635;42.1563971;22.3802304
Latin America and the Caribbean;1994;28.6838626;39.654119;20.9446756
Latin America and the Caribbean;1995;26.6828334;36.9733774;19.445473
Latin America and the Caribbean;1996;25.4086279;35.2864016;18.4880675
Latin America and the Caribbean;1997;24.0465035;33.4897187;17.452848
Latin America and the Caribbean;1998;22.5881777;31.5767986;16.3055882
Latin America and the Caribbean;1999;20.8280991;29.2252302;14.9612086
Latin America and the Caribbean;2000;19.7551713;27.8203199;14.1191595
Latin America and the Caribbean;2001;18.5563816;26.3919071;13.1441043
Latin America and the Caribbean;2002;17.4334989;25.0737068;12.1887472
Latin America and the Caribbean;2003;16.2074901;23.6239859;11.166549
Latin America and the Caribbean;2004;15.498992;22.7920578;10.5613
Latin America and the Caribbean;2005;15.3081408;22.7310595;10.359299
Latin America and the Caribbean;2006;15.0125798;22.475517;10.0761404
Latin America and the Caribbean;2007;14.5484609;21.9133216;9.7184013
Latin America and the Caribbean;2008;13.5933336;20.5905293;9.0012634
Latin America and the Caribbean;2009;11.9460841;18.2888596;7.8272462
Latin America and the Caribbean;2010;10.3764877;16.1299078;6.6972184
Latin America and the Caribbean;2011;8.8097502;13.9770725;5.5901676
Latin America and the Caribbean;2012;8.1147527;13.0408824;5.0982558
Latin America and the Caribbean;2013;7.7500345;12.5857674;4.8310487
Latin America and the Caribbean;2014;7.7751585;12.8036659;4.7989028
Latin America and the Caribbean;2015;7.8492061;13.0737965;4.7955114
Latin America and the Caribbean;2016;7.406642;12.6393033;4.4338134
Latin America and the Caribbean;2017;6.8550363;11.9185711;4.0334935
Latin America and the Caribbean;2018;6.4136321;11.390088;3.7027987
North America;1970;100;100;100
North America;1971;99.7004935;105.5057865;95.2655403
North America;1972;98.1814349;108.2332705;90.6197945
North America;1973;96.0216008;108.9259573;86.654047
North America;1974;92.0815989;104.9298607;82.373612
North America;1975;89.9868154;103.1144623;79.9308904
North America;1976;89.2258526;102.7749315;78.647609
North America;1977;89.8321014;104.3398462;78.418145
North America;1978;90.7552718;106.4901667;78.3339494
North America;1979;91.1322222;107.9458069;77.9205893
North America;1980;90.8661431;108.3433629;77.1414596
North America;1981;90.0886972;107.8116298;76.1093935
North America;1982;89.6391462;107.7128584;75.3608423
North America;1983;89.5306246;108.1225565;74.8789819
North America;1984;88.8905432;108.0786038;73.8981827
North America;1985;88.7670986;108.630749;73.4256521
North America;1986;88.2464152;108.6007817;72.6824765
North America;1987;87.4895724;107.9431412;71.7632236
North America;1988;86.5777728;107.1553803;70.6919127
North America;1989;85.2738235;105.9676735;69.2659331
North America;1990;85.2314494;106.3925164;68.9431474
North America;1991;84.3305661;105.5533793;67.9548284
North America;1992;84.5488738;106.0408379;67.9208625
North America;1993;84.5954698;106.3081008;67.762493
North America;1994;85.1541729;107.3701933;68.0026123
North America;1995;82.9825009;105.2023897;65.9442709
North America;1996;80.4505306;102.6561951;63.5812286
North America;1997;77.9770309;100.130137;61.2517397
North America;1998;76.0023184;98.0835454;59.4130879
North America;1999;74.0255493;95.9540157;57.5991056
North America;2000;72.1602279;93.9551685;55.8693188
North America;2001;70.7939447;92.5458691;54.5425351
North America;2002;71.131851;93.5048308;54.4309002
North America;2003;71.8898774;95.1058423;54.6336472
North America;2004;73.6451328;98.0256017;55.5618037
North America;2005;73.6880222;98.7108238;55.250897
North America;2006;73.6199415;99.0665395;54.9901197
North America;2007;73.5673982;99.3048253;54.8189405
North America;2008;73.5583422;99.438085;54.7316268
North America;2009;73.3446659;99.3760983;54.3549745
North America;2010;72.690968;98.8005363;53.6733691
North America;2011;72.3160147;98.4682426;53.235093
North America;2012;70.9925742;96.9550905;52.0384549
North America;2013;70.2641731;96.5006117;51.2056157
North America;2014;70.7846323;97.8263804;51.2030221
North America;2015;72.9642716;101.4748013;52.5657793
North America;2016;75.4335217;105.7276882;54.0178545
North America;2017;77.5017625;109.4736759;55.2363137
North America;2018;79.6477817;113.0871021;56.51432
World;1970;100;100;100
World;1971;99.1002759;100.9532123;97.3148947
World;1972;97.9298836;101.1930825;94.7653954
World;1973;96.7828407;101.005601;92.6636049
World;1974;95.3454341;100.6185497;90.2682746
World;1975;93.5558012;99.7971052;87.6303107
World;1976;91.4892185;98.4079385;84.9337799
World;1977;88.5352412;95.6108932;81.8530892
World;1978;85.6840467;92.7871614;78.9862613
World;1979;83.34748;90.6706792;76.5085063
World;1980;81.5080934;89.2105091;74.388272
World;1981;79.8368748;87.8251131;72.5191062
World;1982;77.2813851;85.3322953;69.9519295
World;1983;74.5181848;82.5459349;67.2454963
World;1984;71.8320243;79.8806095;64.5434031
World;1985;69.7531144;77.9047038;62.4385823
World;1986;68.1256656;76.3793401;60.787447
World;1987;66.322487;74.5704139;59.0472787
World;1988;64.5467006;72.7827188;57.3601051
World;1989;63.5743437;71.8383787;56.4036784
World;1990;62.6811227;71.0306149;55.4894903
World;1991;61.6091396;69.9998084;54.3542372
World;1992;60.1198509;68.4920136;52.8812806
World;1993;58.1092963;66.3660057;50.9784962
World;1994;56.2008977;64.3275453;49.2023326
World;1995;54.0360964;62.0324969;47.2029372
World;1996;53.0421358;61.0120352;46.2224307
World;1997;51.7500764;59.6143703;44.9995846
World;1998;50.4664511;58.1777225;43.8092504
World;1999;48.6643792;56.1624015;42.2015856
World;2000;47.2215375;54.5681729;40.8896736
World;2001;45.6713694;52.9140444;39.431147
World;2002;44.4983943;51.6829678;38.3065339
World;2003;43.5156567;50.6665223;37.3618957
World;2004;42.9278308;50.1212936;36.7731788
World;2005;42.2031513;49.44708;36.074307
World;2006;41.2951521;48.5931377;35.203315
World;2007;40.1428042;47.3578765;34.1396352
World;2008;38.7193914;45.7816396;32.8353591
World;2009;36.877125;43.7304842;31.1678583
World;2010;35.1531515;41.8612842;29.5962132
World;2011;33.4410414;40.0057175;28.0500189
World;2012;32.3710899;38.8422426;27.0858778
World;2013;31.7382643;38.1353535;26.500441
World;2014;31.6690208;38.071988;26.3834578
World;2015;31.6275314;38.0687196;26.2812118
World;2016;31.1454081;37.5621374;25.7702126
World;2017;30.8852702;37.3430403;25.4654517
World;2018;30.8975673;37.4378072;25.400315
